package_name,language
frontend,Python
concrete-frontend,Python
django-frontend,Python
pyramid_frontend,Python
amundsen-frontend,Python
frontend-assets,Python
ramp-frontend,Python
quetz-frontend,Python
concretefhe-frontend,Python
djangocms-frontend,Python
PyTube-Frontend,Python
django-frontend-forms,Python
django-frontend-presets,Python
hmlr-frontend-jinja,Python
django-frontend-skeleton,Python
espnet-tts-frontend,Python
govuk-frontend-jinja,Python
govuk-frontend-wtf,Python
e-fonenana-frontend,Python
KNICS-Jupyter-frontend,Python
wallaby-frontend-qt,Python
django-frontend-settings,Python
django-frontend-notification,Python
gdaps-frontend-vue,Python
gdaps-frontend-vue,JavaScript
django-frontend-static,Python
django-frontend-template,Python
frontend-for-free,Python
plugit,Python
ocr4all-pixel-classifier-frontend,Python
django-collectdir,Python
spotrix,Python
ryzom,Python
elrados,Python
frolick,Python
kkappkit,Python
swh.web,Python
argsrun,Python
Aeros,Python
cosinnus-todo,Python
ewoksweb,Python
apache-superset-11680,Python
apache-superset-11680-1000,Python
smart-superset,Python
jep-python,Python
sage-superset,Python
unblock,Python
apache-superset,Python
apache-superset-db,Python
dimagi-superset,Python
opengb,Python
ndnt,Python
kotti_backend,Python
fastapi-sessions,Python
upt,Python
hilite-syntax,Python
cenotes-lib,Python
cdktf-local-exec,Python
cdktf-local-exec,JavaScript
wgfrontend,Python
